Altium Designer Pick and Place Locations
C:\Users\carli\_work_\pcb\X4M02\Project_Outputs\PCBA_Doc_280031-010\Pick_Place-280031-010.txt

========================================================================================================================
File Design Information:

Date:       13.06.17
Time:       13:44
Revision:   2450
Variant:    Populated_components
Units used: mil

Designator Footprint             Center-X(mil) Center-Y(mil) Ref-X(mil) Ref-Y(mil) Pad-X(mil) Pad-Y(mil) Layer       Rotation Comment                Description                                                             
C316       0402-CAPACITOR-NONPOL 78.727        -695.882      78.727     -695.882   78.727     -715.567   TopLayer    90       100n                   "CAPACITOR, 100n, 0402, 10%, 10V, X5R"                                  
C319       0402-CAPACITOR-NONPOL -139.761      -311.039      -139.761   -311.039   -139.761   -291.354   TopLayer    270      100n                   "CAPACITOR, 100n, 0402, 10%, 10V, X5R"                                  
C320       0402-CAPACITOR-NONPOL -80.706       -311.039      -80.706    -311.039   -80.706    -330.724   TopLayer    90       2u2                    "CAPACITOR, 2u2, 0402, 20%, 6V3, X5R"                                   
C321       0402-CAPACITOR-NONPOL -372.047      -425.197      -372.047   -425.197   -372.047   -405.512   TopLayer    270      100n                   "CAPACITOR, 100n, 0402, 10%, 10V, X5R"                                  
C322       0603-CAPACITOR-NONPOL -410.433      -436.024      -410.433   -436.024   -410.433   -406.496   TopLayer    270      10u                    "CAPACITOR, 10u, 0603, 20%, 6V3, X5R"                                   
C323       0402-CAPACITOR-NONPOL -267.714      -303.165      -267.714   -303.165   -248.029   -303.165   BottomLayer 180      10p                    "CAPACITOR, 10p, 0402, 5%, 50V, NP0"                                    
C324       0402-CAPACITOR-NONPOL -348.431      -866.140      -348.431   -866.140   -328.746   -866.140   TopLayer    180      18p                    "CAPACITOR, 18p, 0402, 5%, 50V, NP0"                                    
C325       0402-CAPACITOR-NONPOL -277.565      -866.140      -277.565   -866.140   -297.250   -866.140   TopLayer    360      18p                    "CAPACITOR, 18p, 0402, 5%, 50V, NP0"                                    
D1         200048                -265.762      -834.644      -265.762   -834.644   -199.262   -834.644   BottomLayer 360      1N4148W-7-F            "DIODE, 1N4148W-7-F, SWITCH, 300MA, 100V, SOD123"                       
D100       200048                19.685        515.712       19.685     515.712    -46.815    515.712    BottomLayer 180      1N4148W-7-F            "DIODE, 1N4148W-7-F, SWITCH, 300MA, 100V, SOD123"                       
FB1        200017                -259.840      432.071       -259.840   432.071    -299.210   432.071    BottomLayer 360      "40Ohm @100MHz"        "FERRITE 1.5A 40 OHM 0805 SMD"                                          
FB300      200047                -19.682       -791.354      -19.682    -791.354   6.893      -791.354   TopLayer    180      470ohm@100M            "FERRITE BEAD, 470ohm@100MHz, 1A"                                       
FB301      200047                -209.646      -243.110      -209.646   -243.110   -183.071   -243.110   TopLayer    180      470ohm@100M            "FERRITE BEAD, 470ohm@100MHz, 1A"                                       
L100       200059                0.000         503.893       0.000      503.893    0.000      548.972    TopLayer    270      6u8                    "INDUCTOR, PWR, 6.8UH,0.76A,10%,120MHZ"                                 
LED1       200018                374.015       535.397       374.015    535.397    357.283    552.130    BottomLayer 180      18-239A/R6GHBHC-D02/2T "LED RGB, 0404, Everlight 18-239A/R6GHBHC-D02/2T"                       
P1         200019                0.003         -964.582      0.003      -964.582   -275.588   -1003.953  TopLayer    360      "Connector 8x2, 2mm"   "BOARD-BOARD CONNECTOR HEADER, 8WAY, 2ROW, 2MM PITCH"                   
P2         200020                -259.840      478.331       -259.840   594.473    -208.659   432.071    TopLayer    180      ZX62D-B-5PA8           "CONNECTOR, MICRO USB, RECEPTACLE, 5WAY"                                
Q100       200049                -19.685       407.445       -19.685    407.445    -57.087    370.043    BottomLayer 360      DMP1045U               "MOSFET, P-CHANNEL, 12V, 4A, 31mOhm"                                    
R1         0402-RESISTOR         -107.281      348.410       -107.281   348.410    -107.281   368.095    BottomLayer 270      27k                    "RESISTOR, 27k, 0402, 1%, 63mW"                                         
R2         0402-RESISTOR         -157.478      327.740       -157.477   327.740    -177.163   327.740    BottomLayer 360      47k                    "RESISTOR, 47k, 0402, 1%, 63mW"                                         
