Altium Designer Pick and Place Locations
C:\Users\carli\_work_\pcb\XTMCU02\Project_Outputs\PCBA_Doc_280027-004\Pick_Place-280027-004.txt

========================================================================================================================
File Design Information:

Date:       21.03.18
Time:       15:11
Revision:   2774
Variant:    Populated_Components
Units used: mil

Designator Footprint             Center-X(mil) Center-Y(mil) Ref-X(mil) Ref-Y(mil) Pad-X(mil) Pad-Y(mil) Layer       Rotation Comment                  Description                                                             
C219       0603-CAPACITOR-NONPOL 373.031       596.457       373.031    596.457    373.031    625.984    TopLayer    270      10u                      "CAPACITOR, 10u, 0603, 20%, 6V3, X5R"                                   
C218       0402-CAPACITOR-NONPOL 412.402       592.520       412.402    592.520    412.402    612.205    TopLayer    270      100n                     "CAPACITOR, 100n, 0402, 10%, 10V, X5R"                                  
C217       0402-CAPACITOR-NONPOL 216.536       183.071       216.536    183.071    236.221    183.071    TopLayer    180      100n                     "CAPACITOR, 100n, 0402, 10%, 10V, X5R"                                  
C216       0402-CAPACITOR-NONPOL 98.425        183.071       98.425     183.071    118.110    183.071    TopLayer    180      100n                     "CAPACITOR, 100n, 0402, 10%, 10V, X5R"                                  
C215       0402-CAPACITOR-NONPOL -17.716       182.087       -17.716    182.087    1.969      182.087    TopLayer    180      100n                     "CAPACITOR, 100n, 0402, 10%, 10V, X5R"                                  
C214       0402-CAPACITOR-NONPOL 647.638       747.047       647.638    747.047    627.953    747.047    TopLayer    360      2u2                      "CAPACITOR, 2u2, 0402, 20%, 6V3, X5R"                                   
C213       0402-CAPACITOR-NONPOL 647.638       697.835       647.638    697.835    667.323    697.835    TopLayer    180      100n                     "CAPACITOR, 100n, 0402, 10%, 10V, X5R"                                  
C212       0402-CAPACITOR-NONPOL 196.850       599.409       196.850    599.409    196.850    619.095    TopLayer    270      100n                     "CAPACITOR, 100n, 0402, 10%, 10V, X5R"                                  
C211       0402-CAPACITOR-NONPOL 29.528        600.394       29.528     600.394    29.528     620.079    TopLayer    270      100n                     "CAPACITOR, 100n, 0402, 10%, 10V, X5R"                                  
C210       0402-CAPACITOR-NONPOL 100.394       599.409       100.394    599.409    100.394    579.724    TopLayer    90       2u2                      "CAPACITOR, 2u2, 0402, 20%, 6V3, X5R"                                   
C209       0402-CAPACITOR-NONPOL 373.031       507.874       373.031    507.874    373.031    488.189    TopLayer    90       1u                       "CAPACITOR, 1u, 0402, 10%, 10V, X5R"                                    
C208       0402-CAPACITOR-NONPOL 412.401       507.874       412.401    507.874    412.401    488.189    TopLayer    90       100n                     "CAPACITOR, 100n, 0402, 10%, 10V, X5R"                                  
C207       0402-CAPACITOR-NONPOL 571.850       226.378       571.850    226.378    571.850    206.693    TopLayer    90       100n                     "CAPACITOR, 100n, 0402, 10%, 10V, X5R"                                  
C206       0402-CAPACITOR-NONPOL 521.654       226.378       521.654    226.378    521.654    206.693    TopLayer    90       100n                     "CAPACITOR, 100n, 0402, 10%, 10V, X5R"                                  
C205       0402-CAPACITOR-NONPOL 472.441       226.378       472.441    226.378    472.441    246.063    TopLayer    270      100n                     "CAPACITOR, 100n, 0402, 10%, 10V, X5R"                                  
C204       0402-CAPACITOR-NONPOL 536.417       726.378       536.417    726.378    536.417    746.063    TopLayer    270      100n                     "CAPACITOR, 100n, 0402, 10%, 10V, X5R"                                  
C203       0402-CAPACITOR-NONPOL 684.055       246.063       684.055    246.063    703.740    246.063    TopLayer    180      100n                     "CAPACITOR, 100n, 0402, 10%, 10V, X5R"                                  
C202       0402-CAPACITOR-NONPOL 881.890       372.047       881.890    372.047    881.890    352.362    TopLayer    90       100n                     "CAPACITOR, 100n, 0402, 10%, 10V, X5R"                                  
C201       0402-CAPACITOR-NONPOL 937.008       305.118       937.008    305.118    937.008    285.433    TopLayer    90       100n                     "CAPACITOR, 100n, 0402, 10%, 10V, X5R"                                  
C200       0402-CAPACITOR-NONPOL 881.890       305.118       881.890    305.118    881.890    324.803    TopLayer    270      100n                     "CAPACITOR, 100n, 0402, 10%, 10V, X5R"                                  
C103       0402-CAPACITOR-NONPOL 461.614       1114.173      461.614    1114.173   481.299    1114.173   TopLayer    180      1u                       "CAPACITOR, 1u, 0402, 10%, 10V, X5R"                                    
C102       0603-CAPACITOR-NONPOL 353.346       795.276       353.346    795.276    353.346    765.748    TopLayer    90       22u                      "CAPACITOR, 22u, 0603, 20%, 6V3, X5R"                                   
C101       0402-CAPACITOR-NONPOL 361.221       886.811       361.221    886.811    380.906    886.811    TopLayer    180      22p                      "CAPACITOR, 22p, 0402, 5%, 25V, NP0"                                    
C100       0603-CAPACITOR-NONPOL 509.842       998.032       509.842    998.032    509.842    1027.559   TopLayer    270      10u                      "CAPACITOR, 10u, 0603, 20%, 6V3, X5R"                                   
C1         0402-CAPACITOR-NONPOL 647.638       793.307       647.638    793.307    627.953    793.307    TopLayer    360      10n                      "CAPACITOR, 10n, 0402, 20%, 25V, X7R"                                   
C225       0603-CAPACITOR-NONPOL 898.622       452.756       898.622    452.756    928.150    452.756    TopLayer    180      4u7                      "CAPACITOR, 4u7, 0603, 10%, 10V, X5R"                                   
C226       0402-CAPACITOR-NONPOL 937.008       372.047       937.008    372.047    937.008    352.362    TopLayer    90       100n                     "CAPACITOR, 100n, 0402, 10%, 10V, X5R"                                  
C227       0402-CAPACITOR-NONPOL 895.669       570.866       895.669    570.866    915.354    570.866    TopLayer    180      100n                     "CAPACITOR, 100n, 0402, 10%, 10V, X5R"                                  
C228       0402-CAPACITOR-NONPOL 412.402       437.992       412.402    437.992    412.402    418.307    TopLayer    90       100n                     "CAPACITOR, 100n, 0402, 10%, 10V, X5R"                                  
C229       0402-CAPACITOR-NONPOL 367.126       437.992       367.126    437.992    367.126    418.307    TopLayer    90       100n                     "CAPACITOR, 100n, 0402, 10%, 10V, X5R"                                  
C230       0402-CAPACITOR-NONPOL 181.102       373.031       181.102    373.031    200.787    373.031    BottomLayer 180      100n                     "CAPACITOR, 100n, 0402, 10%, 10V, X5R"                                  
C231       0402-CAPACITOR-NONPOL 181.102       414.370       181.102    414.370    161.417    414.370    BottomLayer 360      100n                     "CAPACITOR, 100n, 0402, 10%, 10V, X5R"                                  
C232       0402-CAPACITOR-NONPOL 7.874         373.031       7.874      373.031    27.559     373.031    BottomLayer 180      2u2                      "CAPACITOR, 2u2, 0402, 20%, 6V3, X5R"                                   
C233       0402-CAPACITOR-NONPOL 684.055       214.567       684.055    214.567    703.740    214.567    TopLayer    180      1u                       "CAPACITOR, 1u, 0402, 10%, 10V, X5R"                                    
C234       0402-CAPACITOR-NONPOL 498.031       726.378       498.031    726.378    498.031    746.063    TopLayer    270      1u                       "CAPACITOR, 1u, 0402, 10%, 10V, X5R"                                    
L200       200364                912.402       506.890       912.402    506.890    951.772    506.890    TopLayer    180      CK2125100M-T             "INDUCTOR, 10u, 0805, 20%, 60mA, 650mOhm"                               
R6         0603-RESISTOR         750.000       1054.134      750.000    1054.134   750.000    1079.725   TopLayer    270      0R                       "RESISTOR, 0R, 0603, 1%, 100mW"                                         
R205       0402-RESISTOR         948.819       592.520       948.819    592.520    948.819    612.205    TopLayer    270      2R2                      "RESISTOR, 2R2, 0402, 1%, 63mW"                                         
